Date,Name,Symbol,Type,Category,Quantity,Price,TotalValue,Note
2024/9,盈志 Bank,TWD,Assets,Cash,"129,646",1,"129,646",國泰世華
2024/9,郁雯 Bank,TWD,Assets,Cash,"637,513",1,"637,513",郵局
2024/9,Bitcoin,BTC,Assets,Cryptocurrency,0.0631,"1,955,408","123,341",
2024/9,Ethereum,ETH,Assets,Cryptocurrency,3.34,"75,996","253,825","Sushi(farm), Matamask, Binance(earn)"
2024/9,Solana,SOL,Assets,Cryptocurrency,11.53,"4,428","51,052",Binance(earn)
2024/9,Sui,SUI,Assets,Cryptocurrency,591.33,54,"32,164",Binance(earn)
2024/9,Matic,POL,Assets,Cryptocurrency,"3,824.00",12,"46,200",Binance(earn)
2024/9,Arbitrum,ARB,Assets,Cryptocurrency,896.84,18,"15,708",Binance(earn)
2024/9,Optimism,OP,Assets,Cryptocurrency,7.00,49,345,Binance(earn)
2024/9,Chainlink,LINK,Assets,Cryptocurrency,99.00,349,"34,527",Binance(earn)
2024/9,The Graph,GRT,Assets,Cryptocurrency,"4,644.00",5,"22,957",MAX
2024/9,Pyth Network,PYTH,Assets,Cryptocurrency,"2,468.00",10,"24,685",Binance(earn)
2024/9,Truflation,TRUF,Assets,Cryptocurrency,"1,426.00",2,"3,156",Binance(earn)
2024/9,Filecoin,FIL,Assets,Cryptocurrency,126.49,115,"14,529",
2024/9,Arweave,AR,Assets,Cryptocurrency,41.52,586,"24,311",
2024/9,Immutable,IMX,Assets,Cryptocurrency,768.00,49,"37,597","Binance, OKX"
2024/9,GALA,GALA,Assets,Cryptocurrency,"1,193.00",1,742,
2024/9,Beam,BEAM,Assets,Cryptocurrency,"37,672.00",1,"19,008",
2024/9,Ronin,RON,Assets,Cryptocurrency,193.84,52,"10,072",
2024/9,Xai,XAI,Assets,Cryptocurrency,283.00,6,"1,684",
2024/9,Nakamoto Games,NAKA,Assets,Cryptocurrency,208.45,36,"7,470",
2024/9,Gaimin,GMRX,Assets,Cryptocurrency,"172,872.00",0,"4,549",
2024/9,Portal,PORTAL,Assets,Cryptocurrency,508.48,9,"4,354",
2024/9,Myria,MYRIA,Assets,Cryptocurrency,"82,339.00",0,"7,743",
2024/9,GamerCoin,GHX,Assets,Cryptocurrency,"1,632.00",3,"4,245",
2024/9,Ultiverse,ULTI,Assets,Cryptocurrency,"2,114.00",1,"1,096",
2024/9,SuperVerse,SUPER,Assets,Cryptocurrency,589.67,34,"20,018",
2024/9,Render,RENDER,Assets,Cryptocurrency,104.06,173,"18,038",
2024/9,Akash network,AKT,Assets,Cryptocurrency,239.30,78,"18,759",
2024/9,Nosana,NOS,Assets,Cryptocurrency,66.47,55,"3,637",
